first_name,last_name,email,phone,stage,company,probability
Koray,Ekici,koray.ekici@example.com,(909)-503-9170,Diligence,O'Conner-Rippin,0
Enni,Saksa,enni.saksa@example.com,09-312-595,Diligence,,75
Owen,Medina,owen.medina@example.com,03-8988-9024,Lead,Muller-Runolfsdottir,0
Maeline,Jean,maeline.jean@example.com,04-76-14-59-19,Contacted,,10
Salazar,De Souza,salazar.desouza@example.com,(88) 8340-7838,Contacted,"McLaughlin, Farrell and Keeling",0
Elizabeth,Anderson,elizabeth.anderson@example.com,(130)-104-6483,Closed,"Leuschke, Herzog and Konopelski",0
Irma,Castillo,irma.castillo@example.com,(040)-582-6712,Diligence,Russel and Sons,0
Joan,Graham,joan.graham@example.com,(713)-806-9741,Lead,"Greenholt, McKenzie and Shields",0
Sara,Pakkala,sara.pakkala@example.com,03-792-435,Rejected,Ziemann-Zboncak,0
Rahman,Stelwagen,rahman.stelwagen@example.com,(484)-887-5622,Diligence,Reynolds LLC,75
Eevi,Laine,eevi.laine@example.com,08-113-840,Diligence,Bechtelar-Bosco,0
Mia,Smith,mia.smith@example.com,091-502-3577,Rejected,,100
Jacinta,Porto,jacinta.porto@example.com,(49) 4447-5177,Diligence,Dietrich LLC,0
Sinora,Peixoto,sinora.peixoto@example.com,(26) 7227-2892,Rejected,"Pacocha, Torphy and Orn",0
Charlene,Matthews,charlene.matthews@example.com,(032)-660-5441,Rejected,,0
Lukas,Freytag,lukas.freytag@example.com,0440-1230740,Lead,Champlin-Kiehn,45
Jake,Hughes,jake.hughes@example.com,(989)-121-6143,Closed,Howe LLC,95
Ruby,Jenkins,ruby.jenkins@example.com,(701)-164-0445,Closed,Schinner-Koelpin,25
Elma,Nascimento,elma.nascimento@example.com,(56) 2052-9292,Rejected,,0
Heinz-Joachim,Kiel,heinz-joachim.kiel@example.com,0916-8672280,Closed,"Olson, Kerluke and Breitenberg",0
Gustavo,Ardon,gustavo.ardon@example.com,(391)-266-8651,Diligence,Keeling-Jacobi,60
Vicky,Evans,vicky.evans@example.com,061-836-4191,Diligence,Frami Group,105
Nora,Do,nora.do@example.com,56946629,Closed,"Gottlieb, O'Hara and Pouros",0
Umut,Ozdenak,umut.ozdenak@example.com,(900)-262-3448,Lead,,0
Eda,Porto,eda.porto@example.com,(58) 7190-8081,Closed,,0
Jaco,Peixoto,jaco.peixoto@example.com,(18) 8348-8154,Rejected,Adams LLC,0
Harry,Burton,harry.burton@example.com,(418)-638-3527,Contacted,,0
Carolyn,Porter,carolyn.porter@example.com,(218)-632-1509,Closed,,0
Roberto,Walters,roberto.walters@example.com,(489)-524-4620,Rejected,Bernhard-Lakin,5
Vivienne,Van Mourik,vivienne.vanmourik@example.com,(704)-597-9234,Rejected,,0
Willie,Jimenez,willie.jimenez@example.com,(723)-577-5532,Lead,,0
Viivi,Ramo,viivi.ramo@example.com,08-103-801,Lead,"Labadie, Trantow and Denesik",0
Miriam,Kessler,miriam.kessler@example.com,0961-8520889,Rejected,"Larkin, Johnston and Walsh",35
Ryder,Bouchard,ryder.bouchard@example.com,674-622-6768,Diligence,"Lueilwitz, Hermiston and Morissette",35
Troy,Carter,troy.carter@example.com,01173 500477,Contacted,"Langworth, Keeling and Jaskolski",25
Maxine,Bailey,maxine.bailey@example.com,(782)-396-0374,Lead,Orn Group,0
Carolyn,Gonzalez,carolyn.gonzalez@example.com,016977 99808,Rejected,Kerluke and Sons,0
Mestan,Orge,mestan.orge@example.com,(157)-654-0752,Lead,Johnston Inc,0
Corey,White,corey.white@example.com,071-403-0612,Closed,"Bayer, Hansen and Dietrich",0
Bento,Duijst,bento.duijst@example.com,(124)-297-8829,Closed,Koelpin LLC,0
Batur,Baykam,batur.baykam@example.com,(548)-980-8743,Diligence,,0
Malone,Lacroix,malone.lacroix@example.com,04-37-08-56-70,Lead,,0
Conrad,Bauer,conrad.bauer@example.com,0386-3611485,Closed,Hartmann and Sons,0
Jilke,Balemans,jilke.balemans@example.com,(629)-441-4967,Diligence,Mohr-Schamberger,0
Rose,Simmmons,rose.simmmons@example.com,071-577-9173,Lead,Fisher Inc,0
Etienne,Fortin,etienne.fortin@example.com,497-361-1341,Closed,O'Hara-Walker,0
Archie,Zhang,archie.zhang@example.com,(310)-769-2613,Rejected,"Mueller, Wiegand and Osinski",100
Leonard,Boyd,leonard.boyd@example.com,071-928-9112,Contacted,Runolfsdottir-Fay,0
Jeremy,Campbell,jeremy.campbell@example.com,021-261-6126,Contacted,Pfannerstill and Sons,0
Eli,Anderson,eli.anderson@example.com,(421)-553-6808,Diligence,Stokes-Hoppe,30
Belgin,Valster,belgin.valster@example.com,(068)-447-9225,Lead,,0
Mila,Blanc,mila.blanc@example.com,05-90-88-86-70,Closed,"Durgan, Stiedemann and Ankunding",0
